drug1_name,drug2_name,drug1_normalized,drug2_normalized,interaction_type
Bivalirudin,Alfuzosin,bivalirudin,alfuzosin,serum concentration
Bivalirudin,Acemetacin,bivalirudin,acemetacin,risk or severity of bleeding
Bivalirudin,Apixaban,bivalirudin,apixaban,anticoagulant activities
Bivalirudin,Dabigatran etexilate,bivalirudin,dabigatran etexilate,anticoagulant activities
Bivalirudin,Lovastatin,bivalirudin,lovastatin,serum concentration
Bivalirudin,Midazolam,bivalirudin,midazolam,serum concentration
Bivalirudin,Simvastatin,bivalirudin,simvastatin,serum concentration
Bivalirudin,Ergotamine,bivalirudin,ergotamine,serum concentration
Bivalirudin,Methylergometrine,bivalirudin,methylergometrine,serum concentration
Bivalirudin,Estradiol,bivalirudin,estradiol,serum concentration
Bivalirudin,Tacrolimus,bivalirudin,tacrolimus,metabolism
Bivalirudin,Pethidine,bivalirudin,pethidine,risk or severity of adverse effects
Bivalirudin,Alprazolam,bivalirudin,alprazolam,serum concentration
Bivalirudin,Carbamazepine,bivalirudin,carbamazepine,metabolism
Bivalirudin,Clarithromycin,bivalirudin,clarithromycin,therapeutic efficacy
Bivalirudin,Estriol,bivalirudin,estriol,anticoagulant activities
Bivalirudin,Etonogestrel,bivalirudin,etonogestrel,therapeutic efficacy
Bivalirudin,Progesterone,bivalirudin,progesterone,therapeutic efficacy
Bivalirudin,Desogestrel,bivalirudin,desogestrel,therapeutic efficacy
Bivalirudin,Dydrogesterone,bivalirudin,dydrogesterone,therapeutic efficacy
Bivalirudin,Levonorgestrel,bivalirudin,levonorgestrel,therapeutic efficacy
Bivalirudin,Dienogest,bivalirudin,dienogest,therapeutic efficacy
Bivalirudin,Riociguat,bivalirudin,riociguat,serum concentration
Bivalirudin,Sildenafil,bivalirudin,sildenafil,serum concentration
Bivalirudin,Temsirolimus,bivalirudin,temsirolimus,risk or severity of adverse effects
Bivalirudin,Diltiazem,bivalirudin,diltiazem,metabolism
Bivalirudin,Verapamil,bivalirudin,verapamil,metabolism
Bivalirudin,Desipramine,bivalirudin,desipramine,serum concentration
Bivalirudin,Tianeptine,bivalirudin,tianeptine,serum concentration
Bivalirudin,Cyclophosphamide,bivalirudin,cyclophosphamide,risk or severity of adverse effects
