product_name,ingredient,interaction_count,top_interaction_types
"%0,9 IZOTONIK SODYUM KLORUR ICEREN IRR. SOL.1000 ML (POLIPROPILEN SISE)",sodium chloride,1,risk or severity of adverse effects
%1.5 GLISIN 3000 ML IRR SOL (TORBA SETSIZ),glycine,1,risk or severity of adverse effects
%20 MANNITOL 100 ML SOL ( SETLI TORBA),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL 100 ML SOL (BIOSEL SETLI TORBA),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL 100 ML SOL (BIOSEL SETSIZ TORBA),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL 100 ML SOL (SETSIZ TORBA),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL 150 ML SOL (BIOSEL SETLI TORBA),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL 150 ML SOL (BIOSEL SETSIZ TORBA),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL 150 ML SOL (SETLI TORBA),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL 150 ML SOL (SETSIZ TORBA),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL 500 ML SOL ( SETLI TORBA),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL 500 ML SOL (BIOSEL SETLI SISE),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL 500 ML SOL (SETSIZ TORBA),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL SUDAKI 100 ML SOL (POLIFLEKS PVC TORBA SETLI),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL SUDAKI 100 ML SOL (POLIFLEKS PVC TORBA SETSIZ),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL SUDAKI 150 ML SOL (POLIFLEKS PVC TORBA SETLI),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL SUDAKI 150 ML SOL (POLIFLEKS PVC TORBA SETSIZ),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL SUDAKI 250 ML SOL (POLIFLEKS SETLI TORBA),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL SUDAKI 500 ML SOL (POLIFARMA CAM SISE SETLI),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL SUDAKI 500 ML SOL (POLIFLEKS PVC TORBA SETLI),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 MANNITOL SUDAKI 500 ML SOL (POLIFLEKS PVC TORBA SETSIZ),mannitol,219,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
%20 SODYUM KLORUR COZ ICEREN 10 AMP (ONFARMA),sodium chloride,1,risk or severity of adverse effects
%3 HIPERTONIK SODYUM KLORUR 150 ML SOL (BIOSEL SETLI TORBA),sodium chloride,1,risk or severity of adverse effects
%3 HIPERTONIK SODYUM KLORUR 150 ML SOL (BIOSEL SETSIZ TORBA),sodium chloride,1,risk or severity of adverse effects
%3 HIPERTONIK SODYUM KLORUR 150 ML SOL (SETLI TORBA),sodium chloride,1,risk or severity of adverse effects
%3 HIPERTONIK SODYUM KLORUR 150 ML SOL (SETSIZ TORBA),sodium chloride,1,risk or severity of adverse effects
%3 HIPERTONIK SODYUM KLORUR 250 ML SOL (SETLI),sodium chloride,1,risk or severity of adverse effects
%3 HIPERTONIK SODYUM KLORUR 250 ML SOL (SETSIZ TORBA),sodium chloride,1,risk or severity of adverse effects
%3 SODYUM KLORUR 1000 ML SOL (POLIFLEKS SETLI),sodium chloride,1,risk or severity of adverse effects
%3 SODYUM KLORUR 1000 ML SOL (POLIFLEKS SETSIZ),sodium chloride,1,risk or severity of adverse effects
%3 SODYUM KLORUR 150 ML SOL (POLIFLEKS SETLI),sodium chloride,1,risk or severity of adverse effects
%3 SODYUM KLORUR 150 ML SOL (POLIFLEKS SETSIZ),sodium chloride,1,risk or severity of adverse effects
%3 SODYUM KLORUR 250 ML SOL (POLIFLEKS SETLI),sodium chloride,1,risk or severity of adverse effects
%3 SODYUM KLORUR 250 ML SOL (POLIFLEKS SETSIZ),sodium chloride,1,risk or severity of adverse effects
%3 SODYUM KLORUR 500 ML SOL (POLIFARMA SETSIZ SISE),sodium chloride,1,risk or severity of adverse effects
%3 SODYUM KLORUR 500 ML SOL (POLIFLEKS SETLI),sodium chloride,1,risk or severity of adverse effects
%3 SODYUM KLORUR 500 ML SOL (POLIFLEKS TORBA SETSIZ),sodium chloride,1,risk or severity of adverse effects
%3 SODYUM KLORUR HIPERTONIK 100 ML SOL (POLIFARMA PVC SETLI),sodium chloride,1,risk or severity of adverse effects
%3 SODYUM KLORUR HIPERTONIK 100 ML SOL (POLIFARMA PVC SETSIZ),sodium chloride,1,risk or severity of adverse effects
5-FROTU 1000 MG/20 ML ENJ. ICIN COZ. ICEREN 1 FLAKON,fluorouracil,268,"metabolism, serum concentration, risk or severity of adverse effects"
"5-FROTU 500 MG/10 ML ENJEKSİYONLUK ÇÖZELTİ, 1 ADET",fluorouracil,268,"metabolism, serum concentration, risk or severity of adverse effects"
5-FROTU 5000 MG/100 ML ENJ. ICIN COZ. ICEREN 1 FLAKON,fluorouracil,268,"metabolism, serum concentration, risk or severity of adverse effects"
ABAVIR 245 MG 30 FTB,tenofovir disoproxil,271,"metabolism, risk or severity of adverse effects, serum concentration"
ABETYL 250 MG TABLET (120 TABLET),abiraterone,526,"serum concentration, metabolism, cardiotoxic activities"
ABETYL 500 MG FILM KAPLI TABLET (60 FILM KAPLI TABLET),abiraterone,526,"serum concentration, metabolism, cardiotoxic activities"
ABILIFY 1 MG/ML ORAL SOL 150 ML,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABILIFY 10 MG 28 TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABILIFY 15 MG 28 TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABILIFY 30 MG 28 TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABILIFY 5 MG 28 TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABILIFY MAINTENA 400 MG UZUN SALIMLI IM ENJEKSIYONLUK 1 FLAKON,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABITIGA 250 MG TABLET (120 ADET),abiraterone,526,"serum concentration, metabolism, cardiotoxic activities"
ABIZOL 1 MG/ML ORAL COZELTI 150 ML,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABIZOL 10 MG 28 TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABIZOL 15 MG 28 TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABIZOL 20 MG 28 TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABIZOL 30 MG 28 TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABIZOL 5 MG 28 TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABIZOL EASYTAB 10 MG 28 AGIZDA DAGILAN TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABIZOL EASYTAB 15 MG 28 AGIZDA DAGILAN TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABIZOL EASYTAB 5 MG AGIZDA DAGILAN 28 TABLET,aripiprazole,741,"serum concentration, risk or severity of adverse effects, hypotensive activities"
ABYGA 250 MG TABLET (120 TABLET)**,abiraterone,526,"serum concentration, metabolism, cardiotoxic activities"
ABYGA 500 MG 60 FILM KAPLI TABLET**,abiraterone,526,"serum concentration, metabolism, cardiotoxic activities"
ACETUDIL 90 MG UZATILMIS SALIMLI SERT KAPSUL (10 KAPSUL),acemetacin,399,"risk or severity of adverse effects, therapeutic efficacy, risk or severity of bleeding"
ACETUDIL FORTE 60 MG KAPSUL (20 KAPSUL),acemetacin,399,"risk or severity of adverse effects, therapeutic efficacy, risk or severity of bleeding"
ACLABON 5MG/100 ML IV INF COZ ICEREN 1 FLK,zoledronic acid,126,"risk or severity of adverse effects, serum concentration, hypocalcemic activities"
ACLASTA 5MG/100 ML IV INF COZ,zoledronic acid,126,"risk or severity of adverse effects, serum concentration, hypocalcemic activities"
ACNEDUR %3 MERHEM (20 G),tetracycline,200,"metabolism, serum concentration, therapeutic efficacy"
ACNEGEN 10 MG 30 YUM JELATIN KAP,isotretinoin,35,"therapeutic efficacy, risk or severity of adverse effects, hepatotoxic activities"
ACNEGEN 20 MG 30 YUM JELATIN KAP,isotretinoin,35,"therapeutic efficacy, risk or severity of adverse effects, hepatotoxic activities"
"ACNELYSE %0.025 KREM, 20 GRAM",tretinoin,340,"risk or severity of adverse effects, metabolism, serum concentration"
"ACNELYSE %0.05 KREM, 20 GRAM",tretinoin,340,"risk or severity of adverse effects, metabolism, serum concentration"
"ACNELYSE %0.1 KREM, 20 G",tretinoin,340,"risk or severity of adverse effects, metabolism, serum concentration"
"ACNEWELL %5 JEL, 30 GRAM",dapsone,204,"metabolism, risk or severity of adverse effects, serum concentration"
